en;ru;kk;translation_key
Type of the letter with this code already exists;Тип письма с таким кодом уже существует;Мұндай коды бар хат типі бұрыннан бар;letterTypeWithSameCodeAlreadyExists
accounts selected; счетов выбрано;шоттар таңдалды;common_accsSelected
Status;Статус;Мәртебе;UsersExcelCreator.Status
ibank Team.;ibank Team.;ibank Team.;email.signature
When logging in using the login and password, only the information service is available;При входе по логину и паролю доступен только информационный сервис;Логин және құпиясөз арқылы кіргенде тек ақпараттық сервис қол жетімді;login_alert
Save employees;Сохранить сотрудников;Қызметкерлерді сақтау;paymentOrder_saveEmployees
Current application saved;Текущее заявление сохранено;Ағымдағы өтініш сақталған;demandCreate_Curent_demand_saved
Category;Категория;Санат;demandType_category
Boolean value;Логическое значение;Логикалық маңызы;global_settings.constants.logical_value
Account;Счет;Шот;common_account
Employee's details;Детали сотрудника;Қызметкердің егжей-тегжейлері;employee_detailsEmployee
Valid upon;Действует по;аралығында әрекет етеді;authfactor_to
Admissible amount for;Сумма зачисления по;... қоса есептеу сомасы;accTransfer_creditAmountTo
Manager;Менеджер;Менеджер;paymentOrder_manager
The field should be;Поле должно быть;Жол болуы тиіс;common_length
Transaction details;Детали транзакции;Транзакцияның егжей-тегжейлері;transactionDetails
You were deleted by the bank administrator;Вы были удалены администратором банка;Сіз банк әкімшісімен жойылдыңыз;errorpage418_title
Such  bank does not exist;Такой банк не существует;Мұндай банк жоқ;paymentOrder_valid_bankNotExist
Budget classification code (BCC);Код бюджетной классификации(КБК);Бюджеттік жіктеу коды (БЖК);budgetClassificationCode
1 symbol;1 символ;1 символ;common_field_1symbol
Request for re-issue of the certificate is created. Wait the manager's response;Запрос на перевыпуск сертификата создан. Ожидайте ответ менеджера;Сертификатты қайта шығаруға сұраным  жасалды. Менеджерден жауап күтіңіз;certReqCreated
